lat,lon,temp_avg,temp_min,temp_max,pm_1_avg,pm_1_min,pm_1_max,pm_2_5_avg,pm_2_5_min,pm_2_5_max,pm_10_avg,pm_10_min,pm_10_max,hum_avg,hum_min,hum_max,date,hour
51.451,5.411,21.75288,21.75288,21.75288,7.5754333,7.5754333,7.5754333,8.010734,8.010734,8.010734,8.010734,8.010734,8.010734,28.641174,28.641174,28.641174,2025-03-19,15
51.452,5.411,21.92645,21.92645,21.92645,7.8866587,7.8866587,7.8866587,8.339843,8.339843,8.339843,8.339843,8.339843,8.339843,28.189514,28.189514,28.189514,2025-03-19,15
51.459,5.411,21.82676,21.814297,21.83566,9.134015,8.849764,9.6988,9.658874,9.35829,10.256113,9.658874,9.35829,10.256113,28.689497,28.355833,29.054703,2025-03-19,15
51.46,5.411,21.806286,21.731518,21.865032,8.098147,7.769697,8.648308,8.563484,8.21616,9.145258,8.563484,8.21616,9.145258,29.067923,28.633545,29.314102,2025-03-19,15
51.461,5.411,21.723507,21.723507,21.723507,7.9645596,7.9645596,7.9645596,8.42222,8.42222,8.42222,8.42222,8.42222,8.42222,29.457535,29.457535,29.457535,2025-03-19,15
51.445,5.412,22.369726,22.369726,22.369726,7.1441517,7.1441517,7.1441517,7.5546694,7.5546694,7.5546694,7.5546694,7.5546694,7.5546694,27.885847,27.885847,27.885847,2025-03-19,15
51.446,5.412,22.331005,22.24422,22.417791,7.584351,7.4902344,7.6784678,8.020164,7.9206386,8.119688,8.020164,7.9206386,8.119688,27.97435,27.962143,27.986557,2025-03-19,15
51.45,5.412,21.878386,21.878386,21.878386,7.838781,7.838781,7.838781,8.289213,8.289213,8.289213,8.289213,8.289213,8.289213,29.520096,29.520096,29.520096,2025-03-19,15
51.451,5.412,21.899746,21.857021,21.942472,6.9099183,6.7232246,7.0966125,7.306977,7.1095552,7.5043983,7.306977,7.1095552,7.5043983,28.840302,28.812073,28.86853,2025-03-19,15
51.461,5.412,21.735523,21.67544,21.795605,8.076692,8.061581,8.091803,8.540795,8.5248165,8.556774,8.540795,8.5248165,8.556774,29.613182,29.095901,30.130463,2025-03-19,15
51.445,5.413,22.046616,22.046616,22.046616,7.971778,7.971778,7.971778,8.429853,8.429853,8.429853,8.429853,8.429853,8.429853,28.189514,28.189514,28.189514,2025-03-19,15
51.446,5.413,22.133402,22.116043,22.150759,7.7933693,7.621957,7.9647813,8.241193,8.059931,8.422454,8.241193,8.059931,8.422454,28.677795,28.593872,28.761719,2025-03-19,15
51.45,5.413,21.938469,21.92111,21.955826,8.980983,8.749197,9.2127695,9.497049,9.251945,9.742154,9.497049,9.251945,9.742154,29.427017,29.29274,29.561295,2025-03-19,15
51.461,5.413,21.779583,21.779583,21.779583,8.378609,8.305383,8.451834,8.86006,8.782627,8.937493,8.86006,8.782627,8.937493,29.070717,28.760193,29.38124,2025-03-19,15
51.446,5.414,22.051067,21.963837,22.150759,7.3215666,7.04713,7.491305,7.742279,7.4520726,7.921771,7.742279,7.4520726,7.921771,28.394491,28.096436,28.560303,2025-03-19,15
51.447,5.414,22.06798,22.011902,22.124056,9.62949,9.474785,9.784195,10.18282,10.019226,10.3464155,10.18282,10.019226,10.3464155,29.166092,29.115738,29.216446,2025-03-19,15
51.448,5.414,21.92289,21.857021,22.019913,9.9675865,9.91995,10.02743,10.540344,10.489971,10.603627,10.540344,10.489971,10.603627,29.063852,28.778503,29.38124,2025-03-19,15
51.449,5.414,21.99499,21.99054,22.003891,9.818026,9.654159,9.982052,10.382189,10.208907,10.555641,10.382189,10.208907,10.555641,29.255606,28.72815,29.687943,2025-03-19,15
51.45,5.414,21.934462,21.934462,21.934462,9.3371725,9.3371725,9.3371725,9.873706,9.873706,9.873706,9.873706,9.873706,9.873706,29.62996,29.62996,29.62996,2025-03-19,15
51.462,5.414,21.746649,21.702143,21.83566,8.90748,8.681157,9.093736,9.419323,9.179994,9.616281,9.419323,9.179994,9.616281,29.81663,29.600967,30.096893,2025-03-19,15
51.446,5.415,21.992142,21.955826,22.075989,7.65049,7.1411915,8.213904,8.090103,7.551539,8.685892,8.090103,7.551539,8.685892,28.445251,28.273438,28.69458,2025-03-19,15
51.447,5.415,22.033264,22.033264,22.033264,9.446309,9.446309,9.446309,9.989113,9.989113,9.989113,9.989113,9.989113,9.989113,28.91278,28.91278,28.91278,2025-03-19,15
